id fam grp bmi smoke edu height cardio menarche
101799 10099 nat 9.25209e-06 -6.3986e-05 -2.2994e-06 -3.88932e-05 3.82652e-05 -7.20469e-06
102001 10001 mes 3.6458e-06 -3.78426e-05 -8.49051e-07 -3.16355e-05 8.42745e-05 -1.47583e-05
102002 10002 mes -6.26471e-06 -5.09435e-05 8.67636e-06 -8.46055e-06 7.28543e-05 -1.29795e-05
102003 10003 mes -3.82481e-06 -1.46394e-05 1.4789e-05 -2.72399e-05 2.66098e-05 -2.00358e-05
102004 10004 mes -2.83822e-06 -8.46271e-05 1.03636e-05 -3.24134e-05 -1.64984e-05 -1.4555e-05
102005 10005 mes 3.52387e-06 -2.1697e-05 4.4199e-06 -3.41411e-05 1.78637e-05 -1.39092e-05
102006 10006 mes 3.76736e-06 -3.50645e-05 -6.36567e-08 -2.54267e-05 3.16921e-06 -2.95201e-05
102007 10007 mes 4.37527e-06 -2.13457e-05 2.53394e-07 -1.5854e-05 6.6196e-05 -1.10964e-05
102008 10008 mes 4.08608e-06 -6.21115e-05 9.12653e-06 -2.21063e-05 1.8528e-05 -1.48526e-05
102009 10009 mes -4.57141e-06 -4.71499e-05 -2.78261e-06 -3.00338e-05 2.36958e-05 -1.55224e-05
102010 10010 mes 2.22664e-06 -3.13221e-05 5.03288e-06 -2.77603e-05 4.96661e-05 -6.73195e-06
102700 10000 nat 1.40711e-05 -4.82782e-05 1.23268e-06 -4.76701e-05 4.50569e-05 -1.87785e-05
102703 10003 nat 7.42426e-06 -6.62753e-05 2.62764e-06 -3.67348e-05 3.31985e-06 -2.6626e-05
102705 10005 nat 8.15767e-06 -4.02231e-05 -1.98882e-06 -4.62568e-05 5.16247e-05 -1.32765e-05
102709 10009 nat 3.70006e-06 -3.5702e-05 -6.2839e-06 -5.37977e-05 4.41964e-05 -2.78762e-05
102718 10018 nat 1.26608e-05 -3.70998e-05 7.64045e-07 -4.51151e-05 3.95763e-05 -6.3725e-06
102723 10023 nat 5.12417e-06 -7.26852e-05 -6.19047e-06 -4.45259e-05 2.94862e-05 -2.24432e-05
102726 10026 nat 1.43564e-05 -5.09625e-05 -3.10246e-06 -4.088e-05 3.96821e-05 -1.49417e-05
102727 10027 nat 8.23082e-06 -2.03473e-05 2.49559e-06 -4.94452e-05 7.11143e-05 -2.72346e-05
102728 10028 nat 4.32292e-06 -2.72153e-05 2.02955e-06 -4.10072e-05 4.16813e-05 -6.57184e-06
102730 10030 nat 8.18729e-06 -4.63918e-05 4.70491e-07 -4.43402e-05 4.01075e-05 -2.44961e-05
102738 10038 nat 9.69511e-06 -7.3233e-05 2.28503e-06 -3.98753e-05 7.9116e-06 -2.08686e-05
102739 10039 nat 1.39011e-05 -1.56542e-05 2.49847e-06 -4.49745e-05 6.06449e-05 -9.74142e-06
102740 10040 nat 6.0063e-06 -3.59107e-05 2.7698e-06 -2.50421e-05 2.14658e-05 -2.21607e-05
111002 11002 mes 1.80356e-06 -1.7895e-05 3.51362e-06 -2.58153e-05 8.22059e-05 -1.60218e-05
111003 11003 mes 8.72134e-06 -5.12082e-05 5.16845e-06 -3.44431e-05 4.02958e-05 -2.14475e-05
111004 11004 mes 5.87683e-06 -4.10759e-05 3.69555e-07 -2.09071e-05 5.95399e-05 -2.55205e-05
111007 11007 mes 7.00935e-07 -2.69841e-05 9.69772e-07 -3.81724e-05 1.95126e-05 -3.7359e-05
111008 11008 mes -2.29001e-06 -2.42893e-05 2.83756e-06 -3.65704e-05 4.31044e-05 -1.79335e-05
111009 11009 mes -2.05569e-06 -2.25517e-05 8.25173e-06 -3.64484e-05 2.24224e-05 -7.43042e-06
111010 11010 mes -7.61895e-06 -4.49002e-05 2.89113e-06 -3.27269e-05 1.58274e-05 -5.44497e-06
111063 11063 mes 1.25508e-05 -1.70518e-05 9.59292e-06 -3.39367e-05 3.53123e-05 -2.25944e-05
111066 11066 mes 4.47166e-06 -7.96376e-05 1.09765e-06 -2.94539e-05 5.22688e-05 -2.80399e-05
111067 11067 mes -3.08444e-06 -1.12765e-05 1.12349e-05 -1.64666e-05 2.95825e-05 -2.97221e-05
111068 11068 mes -2.00075e-06 -5.00211e-05 2.58563e-06 -3.5155e-05 3.28303e-05 -2.51648e-05
111069 11069 mes -6.64699e-06 -1.97287e-05 1.25052e-06 -2.21568e-05 4.14396e-05 -2.86402e-05
111070 11070 mes -3.96687e-06 -1.46335e-05 2.14037e-07 -2.96354e-05 7.53162e-05 -5.92742e-07
111071 11071 mes 7.1609e-06 -7.12914e-05 5.04439e-06 -3.02852e-05 2.43272e-05 -9.5515e-06
111072 11072 mes 3.32597e-06 -6.08004e-05 3.416e-06 -1.94594e-05 4.03515e-05 -2.88014e-05
111073 11073 mes 1.04443e-05 -1.45637e-05 2.73503e-06 -3.89802e-05 2.41142e-06 -2.62553e-05
111076 11076 mes 4.39424e-06 -1.94561e-05 -3.9631e-06 -2.83088e-05 4.91339e-05 -8.66576e-06
111077 11077 mes 8.13676e-06 -4.49664e-05 -2.83324e-06 -3.4663e-05 2.32331e-05 -2.93024e-05
111078 11078 mes 5.34657e-07 -4.49273e-05 5.13981e-06 -3.02849e-05 4.84799e-05 -1.86728e-05
111079 11079 mes 4.93892e-06 -2.3812e-05 2.7825e-06 -2.33585e-05 3.60606e-05 -2.32557e-05
111080 11080 mes 2.44993e-06 -5.48012e-06 5.22797e-06 -3.30939e-05 5.44228e-05 -9.9208e-06
111081 11081 mes 5.44273e-06 -4.92292e-05 3.04556e-06 -3.74286e-05 1.27294e-05 -2.48796e-05
112001 11001 mes 4.62206e-06 -2.5304e-05 1.45122e-05 -2.65789e-05 3.21327e-05 -1.47365e-05
112002 11002 mes 1.33587e-05 -5.10374e-05 -7.35653e-06 -4.09193e-05 6.48303e-05 -2.05036e-05
112004 11004 mes 7.13916e-06 -6.76331e-05 7.63645e-06 -3.57393e-05 2.30635e-05 -1.88239e-05
112005 11005 mes -1.80087e-06 -2.64489e-05 7.45066e-06 -3.27422e-05 2.52844e-05 -1.71943e-05
112006 11006 mes 6.84407e-06 -2.54907e-05 6.04184e-06 -2.48159e-05 5.09128e-05 -3.11784e-05
112060 11060 mes 2.74293e-06 -2.18301e-05 1.87633e-06 -3.96741e-05 5.1364e-05 -1.67393e-05
112061 11061 mes 3.37057e-06 -5.13753e-05 -1.06058e-06 -3.62562e-05 4.92883e-05 -6.69676e-06
112062 11062 mes 2.36394e-06 -3.92291e-05 2.29845e-06 -2.85912e-05 6.64011e-05 -1.59307e-05
112063 11063 mes -4.02715e-06 -5.47833e-05 1.02066e-05 -2.99519e-05 2.63599e-05 -1.77999e-05
